순번,단지명,사업자등록번호,전화번호,종업원수,생산품,공장대표주소(도로명),업종명,기준일자
424,춘천후평일반산업단지,6073213592,033-250-4051,1,"소가구(선반, 장식장, 책상, 의자 등)","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 234호",기타 목재가구 제조업,2025-02-06
425,춘천후평일반산업단지,2871701486,033-250-4452,1,부동산 임대,"강원특별자치도 춘천시 후석로420번길 7, 1동 1층 101호(후평동) 1동 1층 101호 외 1필지",비주거용 건물 임대업,2025-02-06
426,춘천동춘천일반산업단지,2218216497,033-0250-4813,12,"수산물(식품) 냉동,냉장",강원특별자치도 춘천시 동산면 원무동길 82-19,냉장 및 냉동 창고업,2025-02-06
427,춘천후평일반산업단지,3342701286,033-250-3647,1,닭갈비 소스 등,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 607호 외 1필지",천연 및 혼합조제 조미료 제조업,2025-02-06
428,춘천후평일반산업단지,,070-8895-7342,1,연구개발,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)",의학 및 약학 연구개발업,2025-02-06
429,춘천후평일반산업단지,2211088941,033-250-4452,1,무오일 공기 압축기,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 427호 외 1필지",기체 펌프 및 압축기 제조업,2025-02-06
430,춘천후평일반산업단지,,033-250-4051,6,기록매체복제업/ 음악 및 기타 오디오물 출판업,"강원특별자치도 춘천시 후석로462번길 21, 3동 1층 2호(후평동)",기록매체 복제업,2025-02-06
431,춘천후평일반산업단지,2210549959,070-8895-7342,11,전시대행(기획),"강원특별자치도 춘천시 후석로462번길 7, 4층 410호 (후평동) 4층 410호 외 1필지","전시, 컨벤션 및 행사 대행업",2025-02-06
432,춘천퇴계농공단지,1574000530,033-250-4051,2,"쿠션, 베개,의류, 침구, 속옷",강원특별자치도 춘천시 퇴계공단길 64(퇴계동),침구 및 관련제품 제조업,2025-02-06
433,춘천후평일반산업단지,7063800552,,1,연구실 설치 및 운영 컨설팅 및 운영 장비 유지 보수,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 508호",경영 컨설팅업,2025-02-06
434,춘천후평일반산업단지,5991601738,070-8895-7342,1,"점자프린터, S/W개발","강원특별자치도 춘천시 후석로462번길 7, 4층 408호 (후평동) 4층 408호",디지털 적층 성형기계 제조업 외 1 종,2025-02-06
435,춘천도시첨단문화산업단지,2091641370,033-250-4225,0,"도시설계, 건축물설계, 경관디자인, 공공디자인",강원특별자치도 춘천시 서면 금산리 1018번지 신디자인랩,도시계획 및 조경설계 서비스업,2025-02-06
436,춘천후평일반산업단지,6760601623,,8,김치,강원특별자치도 춘천시 후석로462번길 21 (후평동) 5동 1호,김치류 제조업 외 1 종,2025-02-06
437,춘천동춘천일반산업단지,2211291339,,7,"종이패키지상자, 선물 상자 등",,골판지 상자 및 가공제품 제조업 외 1 종,2025-02-06
438,춘천후평일반산업단지,1012905046,070-8895-7342,2,홍보영상,"강원특별자치도 춘천시 후석로462번길 7, 3층 315호 (후평동) 3층 315호",광고 영화 및 비디오물 제작업,2025-02-06
439,춘천후평일반산업단지,5367900427,070-8895-7342,1,"사료연구, 컨설팅","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 513호",농림수산학 및 수의학 연구개발업 외 1 종,2025-02-06
440,춘천후평일반산업단지,1108105034,,0,운송업,"강원특별자치도 춘천시 후석로440번길 43 (후평동, 대한통운)",일반 화물자동차 운송업 외 1 종,2025-02-06
441,춘천퇴계농공단지,1108105034,,20,창고업,강원특별자치도 춘천시 퇴계공단1길 33-7(퇴계동) 외 1필지,일반 창고업,2025-02-06
442,춘천후평일반산업단지,1927000321,033-250-3647,2,인테리어 디자인 도면,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 1층 108호 외 1필지",인테리어 디자인업,2025-02-06
443,춘천후평일반산업단지,1268628788,070-8895-7349,4,건축설계,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 8층 815호",건축설계 및 관련 서비스업,2025-02-06
444,춘천후평일반산업단지,4171293321,033-250-4051,4,화장품,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 228호",화장품 제조업,2025-02-06
445,춘천후평일반산업단지,1353226272,033-250-3647,0,"이화학기자재,실험설비","강원특별자치도 춘천시 후석로420번길 7, 춘천하이테크타워 617호 (후평동)",그 외 기타 전기장비 제조업,2025-02-06
446,춘천후평일반산업단지,6181668608,033-250-4452,2,인테리어 디자인,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 709호",인테리어 디자인업,2025-02-06
447,춘천퇴계농공단지,,033-250-3655,3,"간판, 현수막",강원특별자치도 춘천시 퇴계공단길 49-7 (퇴계동),간판 및 광고물 제조업,2025-02-06
448,춘천후평일반산업단지,4023851329,033-250-4051,3,"무대도안, 설치, 설계, 영상물, 광고물, 기타필요장치 및 케이블","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 315호 외 1필지",기타 절연선 및 케이블 제조업 외 2 종,2025-02-06
449,춘천퇴계농공단지,2210431393,,3,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
450,춘천퇴계농공단지,2210518849,033-250-4051,1,"현수막, 광고물",강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),간판 및 광고물 제조업,2025-02-06
451,춘천후평일반산업단지,6417900369,033-250-3647,1,비거주용 건물 임대,"강원특별자치도 춘천시 후석로420번길 7, 1동 4층 402호(후평동) 1동 4층 402호",비주거용 건물 임대업,2025-02-06
452,춘천후평일반산업단지,5512801331,033-250-4452,1,경영컨설팅,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 510호",경영 컨설팅업,2025-02-06
453,퇴계제2농공단지,2430901249,,5,육류,강원특별자치도 춘천시 퇴계공단2길 41 (퇴계동),기타 식사용 가공처리 조리식품 제조업 외 2 종,2025-02-06
454,춘천후평일반산업단지,7372901228,033-250-3655,0,"애니메이션, 웹툰 제작","강원특별자치도 춘천시 소양강로 10, 506호 (후평동)",애니메이션 영화 및 비디오물 제작업,2025-02-06
455,춘천후평일반산업단지,1952101490,033-250-4452,3,건물엔지니어링 서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 723호 외 1필지",건물 및 토목 엔지니어링 서비스업,2025-02-06
456,춘천후평일반산업단지,7618802120,033-250-4452,1,"연구개발, 시험분석","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 731호",의학 및 약학 연구개발업 외 1 종,2025-02-06
457,춘천후평일반산업단지,7030202533,033-250-3647,1,과학교육 컨설팅,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 518호","물리, 화학 및 생물학 연구개발업",2025-02-06
458,춘천후평일반산업단지,2020653158,070-8895-7349,0,광고 대행업(드론),"강원특별자치도 춘천시 후석로420번길 7, 4층 420호 (후평동) 4층 420호",광고 대행업,2025-02-06
459,춘천후평일반산업단지,6812401425,033-250-3655,0,경영컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 509호",경영 컨설팅업,2025-02-06
460,춘천후평일반산업단지,4843800782,033-250-3647,1,인테리어 디자인,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 617호",인테리어 디자인업,2025-02-06
461,춘천후평일반산업단지,2204300014,033-250-4452,1,인터넷 홈페이지,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 708호",컴퓨터 프로그래밍 서비스업,2025-02-06
462,춘천후평일반산업단지,8421701959,033-250-3655,0,"교재,교구제조업","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 626호",인형 및 장난감 제조업,2025-02-06
463,춘천후평일반산업단지,2356500565,033-250-4452,2,건물임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 730호",비주거용 건물 임대업,2025-02-06
464,퇴계제2농공단지,2038166459,070-8895-7342,9,양념닭갈비,,가금류 가공 및 저장 처리업 외 1 종,2025-02-06
465,춘천퇴계농공단지,2038166459,,9,"양념닭갈비, 간장닭갈비 등",강원특별자치도 춘천시 퇴계농공로 96(퇴계동),가금류 가공 및 저장 처리업,2025-02-06
466,춘천동춘천일반산업단지,2068636866,033-250-4051,40,돈 등갈비,강원특별자치도 춘천시 동산면 봉명리 1106-2번지 외 1필지,육류 포장육 및 냉동육 가공업 (가금류 제외),2025-02-06
467,춘천후평일반산업단지,6803400868,033-250-3647,1,건축관련 서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 825호",건축설계 및 관련 서비스업,2025-02-06
468,춘천후평일반산업단지,1380837657,,5,"가향제, 방향제, 디퓨저","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 329호 외 1필지",표면광택제 및 실내가향제 제조업,2025-02-06
469,춘천후평일반산업단지,1512701172,033-250-3655,0,"제품 상세페이지, 동영상","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 503호","광고물 문안, 도안, 설계 등 작성업",2025-02-06
470,춘천후평일반산업단지,3580503352,070-8895-7349,1,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 904호",경영 컨설팅업,2025-02-06
471,춘천후평일반산업단지,5834200830,070-8895-7349,1,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 702호",경영 컨설팅업,2025-02-06
472,춘천후평일반산업단지,3860200586,033-250-3655,1,"시장조사, 여론조사, 연구개발","강원특별자치도 춘천시 소양강로 10, 615호 (후평동)",시장조사 및 여론조사업 외 1 종,2025-02-06
473,퇴계제2농공단지,2219069742,,6,"비뇨기과, 산부인과",,일반 의원,2025-02-06
474,춘천후평일반산업단지,2211327800,033-250-3647,12,"영상 및 사진 촬영 및 편집, 비디오 제작업","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 527호 외 2필지",광고 영화 및 비디오물 제작업,2025-02-06
475,춘천후평일반산업단지,2211176821,,0,건물임대업,강원특별자치도 춘천시 후석로462번길 21 (후평동),비주거용 건물 임대업,2025-02-06
476,춘천퇴계농공단지,2218110540,033-0250-4813,17,건축판넬,"강원특별자치도 춘천시 퇴계농공로 91 (퇴계동, 영춘판넬(주))",기타 구조용 금속제품 제조업 외 1 종,2025-02-06
477,춘천동춘천일반산업단지,2210964701,033-250-4051,3,"가로등,공원등 ",강원특별자치도 춘천시 동산면 원무동길 82-15,육상 금속 골조 구조재 제조업 외 1 종,2025-02-06
478,춘천퇴계농공단지,2210570938,033-250-4051,3,인쇄물,"강원특별자치도 춘천시 퇴계농공로 85, 예문사 (퇴계동)",경 인쇄업 외 1 종,2025-02-06
479,춘천후평일반산업단지,2210961704,033-250-4452,1,인테리어 디자인,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 530호",인테리어 디자인업,2025-02-06
480,춘천후평일반산업단지,2210439527,033-0250-4813,3,"간판,현수막",강원특별자치도 춘천시 후석로462번길 34 (후평동),간판 및 광고물 제조업 외 4 종,2025-02-06
481,춘천후평일반산업단지,7580701975,070-8895-7349,0,디자인,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 404호",시각 디자인업,2025-02-06
482,춘천후평일반산업단지,7023010397,070-8895-7349,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 703호",경영 컨설팅업,2025-02-06
483,춘천후평일반산업단지,3905900707,070-8895-7349,1,경영컨설팅,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 308호",비주거용 건물 임대업,2025-02-06
484,춘천후평일반산업단지,7713900306,033-250-3092,1,화장품 포장케이스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 423호",포장용 플라스틱 성형용기 제조업,2025-02-06
485,춘천후평일반산업단지,4377900362,033-250-3655,0,광고대행,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 313호",광고 대행업 외 2 종,2025-02-06
486,춘천후평일반산업단지,2080428935,033-250-3655,0,건물 및 토목 엔지니어링 서비스,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 609호",건물 및 토목 엔지니어링 서비스업,2025-02-06
487,춘천후평일반산업단지,2208759538,033-250-4452,3,광고대행,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 506호",광고 대행업,2025-02-06
488,춘천후평일반산업단지,1413500263,033-250-4452,1,"측정용 소프트웨어, 실험대 전자 제어보드, 기타 주변 기기 제조업","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 227호",응용 소프트웨어 개발 및 공급업,2025-02-06
489,춘천후평일반산업단지,1282963492,033-250-4051,6,양념육,강원특별자치도 춘천시 공단로 49(후평동),가금류 가공 및 저장 처리업,2025-02-06
490,춘천후평일반산업단지,5383201150,070-8895-7349,0,침구류,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 618호",침구 및 관련제품 제조업,2025-02-06
491,춘천후평일반산업단지,7811801705,070-8895-7342,0,임대,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 424호",비주거용 건물 임대업,2025-02-06
492,춘천후평일반산업단지,8203300760,070-8895-7349,1,목재 가구,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 312호",기타 목재가구 제조업,2025-02-06
493,춘천후평일반산업단지,7562500028,033-250-3647,1,"기술서비스, 기타전기, 배선, 엔지니어링, 토목 건설","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 331호",기타 엔지니어링 서비스업,2025-02-06
494,춘천후평일반산업단지,8432401358,033-250-3655,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 906호",경영 컨설팅업,2025-02-06
495,춘천후평일반산업단지,7830801911,070-8895-7342,0,임대,"강원특별자치도 춘천시 소양강로 10, 5층 505호 (후평동) 5층 505호",비주거용 건물 임대업,2025-02-06
496,춘천퇴계농공단지,2218103317,,19,레미콘,"강원특별자치도 춘천시 퇴계공단길 49-7 (퇴계동, 유덕레미콘)",레미콘 제조업,2025-02-06
497,춘천후평일반산업단지,1020208210,033-250-3647,3,"건축 및 토목공학 연구, 도시공학 연구 및 컨설팅","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 408호",기타 공학 연구개발업,2025-02-06
498,춘천후평일반산업단지,5651101837,033-250-3647,3,디자인제품,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 531호",제품 디자인업,2025-02-06
499,춘천거두농공단지,2212680483,033-250-3361,8,"자동화설비,기계부품.측정기",강원특별자치도 춘천시 동내면 거두단지1길 24,그 외 기타 일반목적용 기계 제조업 외 1 종,2025-02-06
500,춘천후평일반산업단지,1108801231,070-8895-7349,0,의료기기,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 301호",전기식 진단 및 요법 기기 제조업,2025-02-06
501,춘천후평일반산업단지,4552701550,033-250-3655,1,디자인 제품,"강원특별자치도 춘천시 소양강로 10, 417호 (후평동)",인테리어 디자인업,2025-02-06
502,춘천후평일반산업단지,3590901980,033-250-3655,0,인테리어디자인,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 422호",인테리어 디자인업,2025-02-06
503,춘천후평일반산업단지,1708702346,033-250-3655,0,애니메이션,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 716호",애니메이션 영화 및 비디오물 제작업,2025-02-06
504,춘천후평일반산업단지,,033-250-4051,1,연구용 및 진단용 바이오소재,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 821호",그 외 기타 분류 안된 화학제품 제조업,2025-02-06
505,춘천후평일반산업단지,4574300770,070-8895-7342,1,부동산 임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 809호",비주거용 건물 임대업,2025-02-06
506,춘천후평일반산업단지,8171602260,033-250-3655,0,애니메이션,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 902호",애니메이션 영화 및 비디오물 제작업,2025-02-06
507,춘천퇴계농공단지,2210767460,,7,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
508,춘천후평일반산업단지,8488600798,033-250-3647,2,응용 소프트웨어 개발 및 공급,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 426호",응용 소프트웨어 개발 및 공급업,2025-02-06
509,춘천후평일반산업단지,3568802670,070-8895-7342,1,앱개발,"강원특별자치도 춘천시 후석로462번길 7, 2층 210호 (후평동) 2층 210호",응용 소프트웨어 개발 및 공급업,2025-02-06
510,춘천후평일반산업단지,8333500907,033-250-4051,1,전원장치제조 및 임대,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 421호",전구 및 램프 제조업,2025-02-06
511,춘천후평일반산업단지,8456500493,070-8895-7349,0,인테리어 디자인,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 423호",인테리어 디자인업,2025-02-06
512,춘천거두농공단지,1358105649,070-8895-7349,100,"후디스아기밀,건양밀,건양율무,하이키드, 하이뮨프로틴밸러스",강원특별자치도 춘천시 동내면 거두단지2길 60 외 4필지,액상시유 및 기타 낙농제품 제조업 외 4 종,2025-02-06
513,춘천후평일반산업단지,1692501301,070-8895-7349,0,소프트웨어,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 407호",시스템 소프트웨어 개발 및 공급업,2025-02-06
514,춘천퇴계농공단지,,,4,판유리가공제품,강원특별자치도 춘천시 퇴계공단길 46 (퇴계동),안전유리 제조업 외 2 종,2025-02-06
515,춘천퇴계농공단지,2219037764,033-250-3088,3,두부,"강원특별자치도 춘천시 퇴계공단길 86 (퇴계동, 표현씽크)",두부 및 유사식품 제조업,2025-02-06
516,춘천후평일반산업단지,7983601202,033-250-3655,0,영상물,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 517호",일반 영화 및 비디오물 제작업,2025-02-06
517,춘천후평일반산업단지,7805000493,070-8895-7342,2,건축설계,"강원특별자치도 춘천시 후석로462번길 7, 4층 416호 (후평동) 4층 416호",건축설계 및 관련 서비스업,2025-02-06
518,춘천퇴계농공단지,2212267371,,1,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
519,춘천퇴계농공단지,2218215687,,7,비제조업 창고,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),기타 보관 및 창고업,2025-02-06
520,춘천후평일반산업단지,2218207135,070-8895-7349,5,경영컨설팅,"강원특별자치도 춘천시 후석로420번길 7, 2층 206호 (후평동) 2층 206호 외 6필지",경영 컨설팅업,2025-02-06
521,춘천퇴계농공단지,2211323236,,1,창고업,"강원특별자치도 춘천시 퇴계공단1길 33-7 (퇴계동, 골든샤시) 외 1필지",일반 창고업,2025-02-06
522,춘천후평일반산업단지,2114205565,033-250-3655,1,제품디자인,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 507호",제품 디자인업,2025-02-06
523,춘천후평일반산업단지,2054809267,033-250-3655,0,인테리어디자인,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 6층 614호",인테리어 디자인업,2025-02-06
524,춘천창촌농공단지,2210695692,,0,곡물도정업,"강원특별자치도 춘천시 남산면 보매기길 87, 정한",곡물 도정업,2025-02-06
525,춘천후평일반산업단지,5560302462,033-250-4452,1,부동산 임대,"강원특별자치도 춘천시 후석로420번길 7, 1동 6층 620호(후평동) 1동 6층 620호",비주거용 건물 임대업,2025-02-06
526,춘천후평일반산업단지,3185300585,033-250-3655,0,"사료연구, 컨설팅","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 712호",경영 컨설팅업 외 1 종,2025-02-06
527,춘천후평일반산업단지,2753101102,033-250-3655,0,컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 514호",경영 컨설팅업,2025-02-06
528,춘천후평일반산업단지,7333400987,033-250-4452,1,"시스템 소프트웨어, 응용 소프트웨어","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 805호",컴퓨터 프로그래밍 서비스업,2025-02-06
529,춘천퇴계농공단지,8418700402,033-250-4813,4,"계장계측, 폐쇄회로, 출입통제시스템","강원특별자치도 춘천시 퇴계공단1길 57, 2층 (퇴계동)",배전반 및 전기 자동제어반 제조업 외 4 종,2025-02-06
530,춘천후평일반산업단지,7638100191,,15,"수도관,일반관,전선관","강원특별자치도 춘천시 후석로440번길 51 (후평동, 강원파이프산업)","플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",2025-02-06
531,춘천퇴계농공단지,3998601335,,2,증발냉방장치,"강원특별자치도 춘천시 퇴계공단1길 41, B동 1층 1-3호 (퇴계동)",분사기 및 소화기 제조업 외 1 종,2025-02-06
532,춘천후평일반산업단지,2548801870,033-250-3655,0,토목구조설계서,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 901호",기타 엔지니어링 서비스업,2025-02-06
533,춘천퇴계농공단지,4428602619,070-8895-7349,5,"금소판, 금속제 간판, 명패, 표시판 및 관련 금속제품, 광고물",강원특별자치도 춘천시 퇴계공단길 64(퇴계동),간판 및 광고물 제조업 외 1 종,2025-02-06
534,춘천후평일반산업단지,4508701942,033-250-3647,1,광고물 문안 및 도안,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 534호","광고물 문안, 도안, 설계 등 작성업",2025-02-06
535,춘천후평일반산업단지,5248600193,033-250-4452,8,"반지, 귀걸이, 목걸이, 장신구, 수저","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 6층 614호 외 2필지",귀금속 및 관련제품 제조업,2025-02-06
536,춘천퇴계농공단지,8648101533,070-8895-7342,11,"석재조형물, 금속울타리, 콘크리트조형물","강원특별자치도 춘천시 퇴계농공로 87, 406호 (퇴계동)",기타 석제품 제조업 외 2 종,2025-02-06
537,춘천후평일반산업단지,3988701872,033-250-3655,0,안전 진단,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 320호",기타 공학 연구개발업 외 3 종,2025-02-06
538,춘천후평일반산업단지,2238117307,070-8895-7349,13,"설계 및 감리도서, 관리용 소프트웨어","강원특별자치도 춘천시 후석로420번길 7, 7층 706호 (후평동) 7층 706호 외 1필지",기타 엔지니어링 서비스업 외 2 종,2025-02-06
539,남춘천일반산업단지,2218103428,,5,창고업,,일반 창고업,2025-02-06
540,춘천동춘천일반산업단지,2218145578,033-250-4051,1,철구조물,강원특별자치도 춘천시 동산면 원무동길 82-15,육상 금속 골조 구조재 제조업,2025-02-06
541,춘천퇴계농공단지,2218147810,033-250-4225,2,"안내판,표지판",강원특별자치도 춘천시 퇴계공단1길 77 (퇴계동),간판 및 광고물 제조업 외 3 종,2025-02-06
542,춘천퇴계농공단지,5158602770,070-8895-7349,1,"금속 문, 창, 셔터, 판유리가공품, 복층유리","강원특별자치도 춘천시 퇴계공단1길 56-11 (퇴계동, 대한유리상사)","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",2025-02-06
543,춘천후평일반산업단지,5228701193,070-8895-7342,3,휴대용비상조명등,"강원특별자치도 춘천시 후석로462번길 7, 5층 518호 (후평동)",일반용 전기 조명장치 제조업,2025-02-06
544,춘천수동농공단지,1148669490,033-250-4225,3,재무자료 및 기업정보 제공,"강원특별자치도 춘천시 남산면 버들1길 130, 2층",컴퓨터 프로그래밍 서비스업,2025-02-06
545,춘천수동농공단지,1478601409,,21,교육 프로그램,"강원특별자치도 춘천시 남산면 버들1길 130, 4층",컴퓨터 프로그래밍 서비스업,2025-02-06
546,춘천후평일반산업단지,2218139514,033-250-3655,0,"책,현수막등","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 7층 705호",경 인쇄업 외 2 종,2025-02-06
547,춘천퇴계농공단지,2878701534,,20,닭고기,"강원특별자치도 춘천시 퇴계농공로 108, 비-1동(퇴계동)",가금류 가공 및 저장 처리업,2025-02-06
548,춘천창촌농공단지,1668600774,,7,카본척,강원특별자치도 춘천시 남산면 보매기길 75,그 외 기타 분류 안된 비금속 광물제품 제조업,2025-02-06
549,춘천퇴계농공단지,2218136439,,16,"보안용카메라, 영상감시장치, 차량판독기 등",강원특별자치도 춘천시 퇴계공단길 56 (퇴계동),방송장비 제조업 외 10 종,2025-02-06
550,춘천퇴계농공단지,7628702320,,5,"자동제어반,계측제어,계량계측기기","강원특별자치도 춘천시 퇴계농공로 116 (퇴계동, (주)성창)",방송장비 제조업 외 6 종,2025-02-06
551,춘천후평일반산업단지,5568800739,033-250-4051,1,"원목가구, 소품","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 317호",기타 목재가구 제조업,2025-02-06
552,춘천후평일반산업단지,2328601726,033-250-3655,8,XR콘텐츠 개발,"강원특별자치도 춘천시 후석로420번길 7, 1동 8층 812호(후평동) 1동 8층 812호 외 2필지",응용 소프트웨어 개발 및 공급업 외 1 종,2025-02-06
553,춘천거두농공단지,2218121329,070-8895-7342,34,화장품 소재 및 화장품,강원특별자치도 춘천시 동내면 거두단지2길 30,화장품 제조업,2025-02-06
554,춘천후평일반산업단지,2218121329,033-250-4452,30,화장품 소재 제조 및 연구개발 서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 806호 외 1필지",화장품 제조업 외 1 종,2025-02-06
555,춘천후평일반산업단지,2218141043,070-8895-7342,50,"방사선발생장치, 치과용의료용기기, 의료용품, 엑스레이제네레이터, 기구, 기타","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 2층 219호 외 12필지",방사선 장치 제조업,2025-02-06
556,남춘천일반산업단지,2218127681,070-8895-7342,4,프로바이오틱스,,건강기능식품 제조업 외 1 종,2025-02-06
557,춘천창촌농공단지,2228603052,033-250-4051,1,배전반 및 전기자동제어반,강원특별자치도 춘천시 남산면 보매기길 87,배전반 및 전기 자동제어반 제조업,2025-02-06
558,남춘천일반산업단지,2618125056,033-250-4225,31,원료의약품,,의약용 화합물 및 항생물질 제조업,2025-02-06
559,춘천후평일반산업단지,6568800908,033-250-4225,3,닭갈비,"강원특별자치도 춘천시 후석로462번길 21, 3동 1호 (후평동)",가금류 가공 및 저장 처리업,2025-02-06
560,춘천후평일반산업단지,2218126907,033-250-4051,3,화장품 원료,"강원특별자치도 춘천시 소양강로 32, 바이오2동 101, 105호 (후평동)",생물학적 제제 제조업,2025-02-06
561,춘천거두농공단지,6718801963,,5,"화장품 소재, 보습제",강원특별자치도 춘천시 동내면 거두리 1146-2번지,화장품 제조업 외 1 종,2025-02-06
562,춘천후평일반산업단지,6538102529,033-250-4452,2,"동결건조기, 발효장치, 저온미분쇄기","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 519호",농업 및 임업용 기계 제조업 외 2 종,2025-02-06
563,남춘천일반산업단지,3608701862,070-8895-7349,20,"앙카체, 그라운드앵커",강원특별자치도 춘천시 동산면 종자리로 33-61,금속선 가공제품 제조업 외 1 종,2025-02-06
564,춘천후평일반산업단지,2248136248,033-250-4225,6,"휀스,데크,아고라",강원특별자치도 춘천시 후석로462번길 37 (후평동),기타 건축용 나무제품 제조업 외 2 종,2025-02-06
565,춘천퇴계농공단지,,,3,"휀스,파고라","강원특별자치도 춘천시 퇴계공단1길 61-13 (퇴계동, 춘천옥산가)",기타 건축용 나무제품 제조업 외 3 종,2025-02-06
566,춘천퇴계농공단지,6258101506,033-250-4051,4,LED 바닥 신호등,강원특별자치도 춘천시 퇴계공단1길 30 (퇴계동),전시 및 광고용 조명장치 제조업 외 3 종,2025-02-06
567,춘천퇴계농공단지,4868702445,033-250-4051,1,사인 시설,"강원특별자치도 춘천시 퇴계농공로 87, 창조종합이엔지(주) (퇴계동)",기타 목재가구 제조업,2025-02-06
